"location_name","city","reviewer_name","review_date","star_rating","review_text","owner_response","review_url"
"Los Tres Amigos Jackson","Jackson","jim Archambeau","2012-09-09","2","Sad to say the place caught fire and will be out of service for sometime","","https://search.google.com/local/reviews?placeid=ChdDSUhNMG9nS0VJQ0FnSUNBNlp6Y3hBRRAB"
"Los Tres Amigos Holt","Holt","Michael Frost","2012-10-20","4","","","https://search.google.com/local/reviews?placeid=ChZDSUhNMG9nS0VJQ0FnSUN3bFlLLVlREAE"
"Los Tres Amigos Canton","Canton","jo ann","2012-11-07","5","had a lunch birthday party for my husband, service was fast and very friendly.  the food was really good, everyone got different stuff and everyone loved it.  we walked in with a cake and without even asking dessert plates, spoons and napkins showed up as we were finishing our lunch.  totally go here and look at valpak for coupons it saved us $10.","",""
"Los Tres Amigos Howell","Howell","Mike Harrison","2012-12-04","4","FIRST TIMERS AND PROBABLY OUR LAST BLAND FOOD WOULD NOT RECOMMEND","","https://search.google.com/local/reviews?placeid=ChdDSUhNMG9nS0VJQ0FnSURRM3Q2OXpRRRAB"
"Los Tres Amigos Canton","Canton","Caleb Rogers","2012-12-19","4","Good food, quick service and neat decor. The food is more authentic as its not over seasoned and they have 32oz beers...cheers.","",""
"Los Tres Amigos Lansing","Lansing","Bill Marr","2013-01-03","4","","","https://search.google.com/local/reviews?placeid=ChdDSUhNMG9nS0VJQ0FnSUNRNzQzXzlnRRAB"
"Los Tres Amigos Howell","Howell","Jeff Amburgy","2013-01-07","2","Bad food bad service,  wont be back","","https://search.google.com/local/reviews?placeid=ChZDSUhNMG9nS0VJQ0FnSUNBcTRldlVnEAE"
"Los Tres Amigos Canton","Canton","Jeremy Zumbrunnen","2013-02-24","5","Great stuff","",""
"Los Tres Amigos Lansing","Lansing","Milton Hernandez","2013-02-27","5","The
best food","","https://search.google.com/local/reviews?placeid=ChdDSUhNMG9nS0VJQ0FnSUNnblBiWDlBRRAB"
"Los Tres Amigos Jackson","Jackson","Danielle Atterberry","2013-03-17","5","always a wonderful experience,. not a single complaint. its our place every time we go out.","","https://search.google.com/local/reviews?placeid=ChZDSUhNMG9nS0VJQ0FnSUNncG92c1hREAE"
"Los Tres Amigos Lansing","Lansing","Jeff VanderSchaaf","2013-06-09","3","","","https://search.google.com/local/reviews?placeid=ChdDSUhNMG9nS0VJQ0FnSURRcG95Nnd3RRAB"
"Los Tres Amigos Holt","Holt","Chad Cooper","2013-07-05","5","Very good food and service. Try the Nachos Fajita Steak. It is the best.","","https://search.google.com/local/reviews?placeid=ChdDSUhNMG9nS0VJQ0FnSURRNGItZzZnRRAB"
"Los Tres Amigos Mason","Mason","Eric S","2013-07-12","5","Really good food. There is no reason to leave Mason for Mexican food with this place in town.","","https://search.google.com/local/reviews?placeid=ChdDSUhNMG9nS0VJQ0FnSUNRLXBXRGdBRRAB"
"Los Tres Amigos Canton","Canton","Hayden Brown","2013-07-23","2","Quality has gone down since my first visit. My tacos hardly have any chicken in them any more.","",""
"Los Tres Amigos Canton","Canton","Janis Crandall","2013-07-23","4","This has got to be the best Mexican food I have ever had. It really tastes like authentic Mexican. The spices were just perfect. The atmosphere was very engaging. The decor is very cozy. The food we ordered was fresh but took a little long to come. Overall though, I would definitely recommend.","",""
"Los Tres Amigos Mason","Mason","Sherm Criss","2013-08-05","5","Love this place, Im not sure why, but its better than the other Los Tres locations
we go there a few times a week. Great food and friendly staff and quick service","","https://search.google.com/local/reviews?placeid=ChdDSUhNMG9nS0VJQ0FnSURna00yenNRRRAB"
"Los Tres Amigos Howell","Howell","IAN BLAIR","2013-08-20","5","I love the food here so much that I even enjoy getting the shitz after it.","","https://search.google.com/local/reviews?placeid=ChdDSUhNMG9nS0VJQ0FnSUNRbE4yTWpRRRAB"
"Los Tres Amigos Mason","Mason","Herb Mahony","2013-08-29","5","I love this place. It's a regular lunch stop. Great food. Fast service. Very reasonably priced.","","https://search.google.com/local/reviews?placeid=ChdDSUhNMG9nS0VJQ0FnSURBdDY2WTlnRRAB"
"Los Tres Amigos Holt","Holt","DJ","2013-09-20","3","I like the food here, but I have to share this review on principal...
The big sign out front promotes 3.99 Margaritas.  So I go in on my lunch, order a $6.50 lunch combo and a couple margaritas.  The bill comes to $23!!  I look, and they were charging me for the $7.99 margaritas!  This wouldn't be so bad if I actually drank a margarita that was worth $7.99, but these were snifter sized glasses full of ice.   I was offered two sixes, the Large, and the next size down. I figured that was the appropriately priced dink.
The margarita was OK to the taste, but was an incredible ripoff for the price.
If you are going in for food and drink, you might want to confirm the prices, if money matters to you.","","https://search.google.com/local/reviews?placeid=ChZDSUhNMG9nS0VJQ0FnSURBNUlIZGVREAE"
"Los Tres Amigos Howell","Howell","Ken Jones","2013-10-06","5","Its only two places you'll find better Mexican food southwest Detroit and Mexico excellent cuisine guys keep up the good work","","https://search.google.com/local/reviews?placeid=ChZDSUhNMG9nS0VJQ0FnSUNBX3UyR1VnEAE"
"Los Tres Amigos Howell","Howell","Roberta Couturier","2013-10-20","5","Great sangria! Tamale and chili relemos were spicy and flavorful. Excellent tortilla soup. Wait staff was very attentive.","","https://search.google.com/local/reviews?placeid=ChdDSUhNMG9nS0VJQ0FnSURBNHNMYzRnRRAB"
"Los Tres Amigos Farmington","Farmington","Stacie Palmer","2013-11-03","5","Excellent food with excellent service=5 stars!!","",""
"Los Tres Amigos Canton","Canton","charles wagenti","2013-12-20","5","Darwin the waiter rocks! Mojitos almost as good as Royal Carribean Boleros bar!  Request Darwin.. Hola!","",""
"Los Tres Amigos Canton","Canton","david jarvi","2013-12-21","1","NO TACO MEAT COOKEFD IN Juannns somacch.","",""
"Los Tres Amigos West Jackson","Jackson","Andrew Beck","2013-12-27","5","","",""
"Los Tres Amigos Michigan Center","Michigan Center","Andrew Beck","2013-12-27","3","","",""
"Los Tres Amigos West Jackson","Jackson","David Stout","2014-02-15","5","Great restaurant. Our waiter Cabyallo was absolutely wonderful. Margaritas were terrific.....service was outstanding....","",""
"Los Tres Amigos Farmington","Farmington","Melissa Bethel","2014-02-23","5","This is the best Mexican restaurant in Metro Detroit.  Every thing on the menu is wonderful.  Usually I'm weary about sauces on top of my burritos,  enchiladas, or chimichangas but not here.  The service is excellent and the staff is superb.

I believe they're better than Mexican Village downtown. I feel horrible for saying that since I've been going there for almost 30 years.","",""
"Los Tres Amigos Holt","Holt","Rena Wade","2014-03-08","5","","","https://search.google.com/local/reviews?placeid=ChZDSUhNMG9nS0VJQ0FnSUN3al9ueVBnEAE"
"Los Tres Amigos Canton","Canton","Michelle T","2014-03-27","2","Not really that good. The tacos are just like taco bell, nothing special not authentic. The food I ordered was cold too!","",""
"Los Tres Amigos Holt","Holt","Daniel Powell","2014-03-29","5","Best Mexican food in the area. Very affordable, and always delicious. Half of appetizers and beer every night.","","https://search.google.com/local/reviews?placeid=ChZDSUhNMG9nS0VJQ0FnSUNBenFhTVJREAE"
"Los Tres Amigos Jackson","Jackson","Janan Zonker","2014-04-16","3","They used to be the best Mexican food in Jackson because there hadn't been an alternative. Hopefully, competition will teach them to cook fresh.","","https://search.google.com/local/reviews?placeid=ChdDSUhNMG9nS0VJQ0FnSURneDdlNHlRRRAB"
"Los Tres Amigos Farmington","Farmington","Tiger","2014-05-02","3","The service was great...food not so much.

Edit:I changed my review from 1 star to 3, because they changed up the way they made the food. It's miles better...but not best.  It's decent food for an okay price, with great ambiance outside.","",""
"Los Tres Amigos Canton","Canton","Nick Joe","2014-05-22","5","Great food, a friendly feel, and the most authentic food in the area.","",""
"Los Tres Amigos Canton","Canton","Steve Bush","2014-06-02","2","Mediocre food, mediocre service. There are too many other options in there area for this restaurant to be soo mediocre. Won't go back.","",""
"Los Tres Amigos Farmington","Farmington","j_woodz briones","2014-06-13","5","Amazing food and service we love it here","Thanks for your feedback, J_Woodz! We appreciate hearing that you enjoyed our food and service. Gratitude like yours motivates us to maintain high standards. We truly value your support and look forward to serving you again soon.",""
"Los Tres Amigos Holt","Holt","Stephen Hunt","2014-06-23","1","These guys double charged my credit card and acted like it was my fault.  They hung up on me twice.  Don't eat at any Los Tres Amigos they do not care about their customers.","","https://search.google.com/local/reviews?placeid=ChdDSUhNMG9nS0VJQ0FnSUNBdV9qLXJBRRAB"
"Los Tres Amigos Howell","Howell","Kimberly Chumney","2014-06-23","5","We have love the food and the waitstaff has always been excellent!","","https://search.google.com/local/reviews?placeid=ChdDSUhNMG9nS0VJQ0FnSURBNkxEaG9nRRAB"
"Los Tres Amigos Farmington","Farmington","Michael Donovan","2014-08-20","2","Last time I'll visit. This place never has had good service and today is no different.  Sat at bar ordered meal and asked for their hot salsa.  Waitress tells me they will charge me .99 for that.  I've been coming here since the opened, probably at least once a month and never ever was I charge or at least saw a charge on bill for their salsa. It's good, but it's not so good you can charge.  So sad. Should we discuss the amount of gnats that flying around the bar right now, or should we not talk about that??","",""
"Los Tres Amigos Canton","Canton","Andrew Young","2014-08-22","4","Nice atmosphere, good food, good price.","",""
"Los Tres Amigos Howell","Howell","HellCat (Hellcat)","2014-08-29","5","Prompt seating, prompt delivery of hot food, attentive waitress. Enjoyable meal.","","https://search.google.com/local/reviews?placeid=ChZDSUhNMG9nS0VJQ0FnSUNncXQ2VFBBEAE"
"Los Tres Amigos Farmington","Farmington","Lindsey Joy","2014-09-03","1","Worst restaurant ever! Went after the lunch rush when the place was dead and got the worst service ever! Waiter took 5 minutes to get our drink order. drop it off and ran away. Took another 10 minutes before we could order food and there were maybe 3 other table then us.The waiter didn't ask my mother what kind of meat she wanted with her combo, did ask if we wanted appetizers.  Never  gave us silverware or napkins, i had to ask another waitress for some and she seemed like I was making her do something she didn't have time for.  When we got our food they gave us no sides like it says on the menu. I got maybe a teaspoon of guacamole, pico de gallo , sour cream.  the guacamole seemed like it came out of a pre-made container and not home made. The food was okay at best. there were gnats and flies all over the restaurant, my mother had to stop eating her food because they landed on her plate. The waiter never came back to check on us which means once i finished my drink i never got a refill. We had to yell across the restaurant and wave our arms in the air to get his attention and still he took his time coming back over.  I asked for some more coke and he told me he was busy, we asked for a manager and he said there wasn't one in the restaurant. He just kept telling us he  was busy when there was no one else in the restaurant. To say the least, I've never walked out of a restaurant with out giving a waiter or waitress a tip and we left him nothing. We will never be going back there.  You would get better service at a Coney on a Sunday morning during breakfast rush then at this place when no one is in the restaurant","",""
"Los Tres Amigos Holt","Holt","Adrian Bernal","2014-10-02","5","Awesome service. Grest food.","","https://search.google.com/local/reviews?placeid=ChZDSUhNMG9nS0VJQ0FnSUNnbzVqeUZnEAE"
"Los Tres Amigos Holt","Holt","University Motor Mall","2014-10-09","5","Best Tacos Ever","","https://search.google.com/local/reviews?placeid=ChdDSUhNMG9nS0VJQ0FnSURBXzZ1TTFBRRAB"
"Los Tres Amigos Jackson","Jackson","Elizabeth Roeback","2014-10-17","3","I was expecting it to be better based on other reviews, in my opinion it was not the best. Fajitas were alright, very disappointed in the guacamole. Service was wonderful though.","","https://search.google.com/local/reviews?placeid=ChZDSUhNMG9nS0VJQ0FnSUNndDllOEdBEAE"
"Los Tres Amigos Holt","Holt","xTarantulaDude x","2014-11-03","1","Well what can I say other than they need to communicate to their employees and their customers. I placed an order (130 dollars) for pickup on July 4th at 6:30 PM before my party. I was told on June 27, and July 1 that they WOULD be open on July 4th with normal hours (I called on July 1 just to be safe, because when I placed the order, no one seemed to know anything) and that I could pick it up, as I had payed in advance. Well, luckily I got there At 5 30, one hour before, to find they were CLOSED! I was absolutely livid. I have never had something like this happen. I gave them my phone number, name, and address, and I was not told that they would be closed even after confirming several times. This is honestly ridiculous and could've ruined my party. Luckily, Asia's Finest just down the road came in clutch and saved it. Never eating here again. I am expecting a full refund for food I NEVER RECEIVED! Make this right, management.","","https://search.google.com/local/reviews?placeid=ChZDSUhNMG9nS0VJQ0FnSUNnMkxEOEVREAE"
"Los Tres Amigos Howell","Howell","Joseph Marinaro","2014-11-25","5","The food was delicious and the portion sizes were very large. I'd definitely recommend this restaurant if you like Mexican food. The staff is also very hard working and kind. My wife accidentally left her wallet at the table the last time we went there and they were very diligent in returning it to us. Thank you!","","https://search.google.com/local/reviews?placeid=ChdDSUhNMG9nS0VJQ0FnSUNncDhQZDlBRRAB"
"Los Tres Amigos Canton","Canton","Yohei Shimazaki","2014-12-01","5","Meghan, best server ever!!!","Thank you for your feedback. We appreciate your recognition of our team's efforts. It is great to know that you had a positive experience with our service. Your support means a lot to us!",""
"Los Tres Amigos Mason","Mason","Jeff Angstman","2014-12-10","3","The service is very good here and prices reasonable. The food is pretty good but lacks in some areas....salsa lacks body or any flavor of chili's for instance.Pico there is tasteless and seemed old, lacked crispness. Someone from the SW would not be impressed with the chips/salsa which set the tone for any Mexican meal.They need good Sopapillas for dessert. They put hot sauce ,more suited for crawdads, on the table instead of red, green chilies.....  A big no no.","","https://search.google.com/local/reviews?placeid=ChZDSUhNMG9nS0VJQ0FnSURRclpMZVdREAE"
"Los Tres Amigos Jackson","Jackson","Christina Armenta","2015-01-08","1","The location on West Ave is terrible! Terrible service, terrible attitude, and terrible food! Coming from a Hispanic family, we use to stop in and grab a bite when I didn't feel like cooking. This last time was so gross I couldn't even eat it. Yuck! AND the manager is so rude there is no point in asking to speak with him. Save your money; tons of awesome places to eat in Jackson!","","https://search.google.com/local/reviews?placeid=ChZDSUhNMG9nS0VJQ0FnSUN3cU8yTUpBEAE"
"Los Tres Amigos Canton","Canton","Christopher Penney","2015-01-10","5","Awesome service and food","",""
"Los Tres Amigos Howell","Howell","Stacey Ryskamp","2015-01-25","1","My boyfriend and I stopped here to eat hoping it would be good, but have to say we will not be back to eat here food was horrible and not authentic we feel taco bell would of been much better to eat","","https://search.google.com/local/reviews?placeid=ChZDSUhNMG9nS0VJQ0FnSUNBNWNqN0dBEAE"
"Los Tres Amigos Canton","Canton","Dizzy King","2015-02-15","5","The food was the most authentic I have had in Michigan! So good!!","",""
"Los Tres Amigos Farmington","Farmington","Russell Boruta","2015-02-22","4","Pretty good Mexican. I had the variety tacos. All were good and authentic. The soft tacos were full of flavor.","",""
"Los Tres Amigos Canton","Canton","Donna McWillie","2015-03-27","5","Loved the food, it reminded me of my favorite Mexican restaurant in Virginia. The food was tasty and colorful and very affordable. They have a beautiful wide variety of authentic style dishes to choose from, but don't take my advice or the failed advice of anyone who just eats tacos... Go try it yourself and you be the judge.","",""
"Los Tres Amigos West Jackson","Jackson","Amanda Medeiros","2015-04-04","4","Don't really know much about this place anymore I always go to the remodeled one on n west ave. But last time I went still great food but the servers weren't as great as the ones at the new one","",""
"Los Tres Amigos Mason","Mason","Sean Dowd","2015-04-12","1","Carryout. Order was ready 20 minutes later than they estimated. Food was burnt, over salted, and generally not worthy of delivery to the public. I don't mind waiting, or even having to wait a little longer if the food you've prepared is not up to standard. The meal I brought home to my family certainly was not worthy of even fast food standards. I'll give dine in one chance, but after other not so great experiences at other Los Tres restaurants, this will be the last chance.","","https://search.google.com/local/reviews?placeid=ChZDSUhNMG9nS0VJQ0FnSURBa0lENWF3EAE"
"Los Tres Amigos Jackson","Jackson","Silvia C","2015-05-02","5","Loved it! Very delicious food and great service. The interior is AMAZING! Will come back

Edit: 10 years later it’s still awesome!!","Thank you, Silvia! It's great to hear you've enjoyed our food and service over the years. We're glad that our interiors stand out for you too. We appreciate your loyalty and look forward to serving you again soon.","https://search.google.com/local/reviews?placeid=ChZDSUhNMG9nS0VJQ0FnSURRcDl2MUVREAE"
"Los Tres Amigos Jackson","Jackson","David Stout","2015-05-09","5","Wonderful place. Clean, good food, really terrific service, best mexican restaurant in Michigan","","https://search.google.com/local/reviews?placeid=ChZDSUhNMG9nS0VJQ0FnSUN3dk5Td2FREAE"
"Los Tres Amigos Canton","Canton","Alex Montoya","2015-05-09","2","Its about average good service and good food. Try to avoid the dinner rush.","",""
"Los Tres Amigos Farmington","Farmington","Steven Cornea","2015-05-09","2","There are better mexican places that give you more for cheaper.","",""
"Los Tres Amigos Mason","Mason","Molly Buckham","2015-05-27","2","Service is generally disappointing and the food is just okay.","","https://search.google.com/local/reviews?placeid=ChZDSUhNMG9nS0VJQ0FnSURneTlMSExREAE"
"Los Tres Amigos Jackson","Jackson","Alice Fleming","2015-05-30","1","I visited Los Tres Amigos located in Jackson MI last week and the restarant was gorgeous.  The food also was tasty and well prepared.

I did encounter a serious problem with the manager.  He brought our food to our table for our waitress who was very polite and wonderful server, with excellent people skills.  The manager gave me ""Ricaro Morales as his name.  He was rude and uncourteous.  After eating I talked with him and he remained unapologetic.  I filmed our conversation.

I would be happy to talk to someone in management more about this.

Thank you for your kind considerationnin this matter.","","https://search.google.com/local/reviews?placeid=ChZDSUhNMG9nS0VJQ0FnSUN3aE5UTWJBEAE"
"Los Tres Amigos Holt","Holt","Jason Baker","2015-06-05","5","Great food and friendly","","https://search.google.com/local/reviews?placeid=ChdDSUhNMG9nS0VJQ0FnSURBMWNyRWlnRRAB"
"Los Tres Amigos Canton","Canton","Deepak Aggarwal","2015-06-05","5","Delicious tex-mex style food with wonderful mexican decorations.  Food was very quick and the staff was polite.  I will be most certainly be back.","",""
"Los Tres Amigos Howell","Howell","Meghan Raimondo","2015-06-11","5","","","https://search.google.com/local/reviews?placeid=ChdDSUhNMG9nS0VJQ0FnSURROEpIOHZ3RRAB"
"Los Tres Amigos Canton","Canton","C L","2015-06-19","3","Waiter out on patio was barely there for us.

Tequila prices were high.

Tortilla chips were not good at all.  Tasteless. Stale.

On the upside it was nice to be outside to dine with friends. And everyone liked the food. (Except for chips. Lol)","",""
"Los Tres Amigos Farmington","Farmington","Patrick Lewis","2015-06-29","4","decent place.","",""
"Los Tres Amigos West Jackson","Jackson","Jackson Business Insider","2015-07-05","5","Legit Mexican good. Plus it's the only Mexican restaurant found in Jackson that serves alcohol.","",""
"Los Tres Amigos Farmington","Farmington","Ellen Englund","2015-07-10","5","Great food, great beers, good service. The chicken fijita salad is awesome.","",""
"Los Tres Amigos Jackson","Jackson","cam cam","2015-07-21","5","Excellent service great chips","","https://search.google.com/local/reviews?placeid=ChdDSUhNMG9nS0VJQ0FnSURRX3JYcXRBRRAB"
"Los Tres Amigos Canton","Canton","Brian Hess","2015-08-01","5","Great  food, good prices, good staff","",""
"Los Tres Amigos Canton","Canton","Bruce Hopkins","2015-08-04","2","Service was fine, nothing special.  The waiter did not have knowledge of Mexican dishes when I asked if they served botanas or steak milanesa (they had neither).  I ordered enchiladas four ways. The ground beef one was gross and the sauce had a familiar canned flavor.   My wife ordered chicken chimichangas dinner but it only came with one chimichanga, surprisingly.   Everywhere else there are 2.  And come on, beans and rice didn't come with my meal.","",""
"Los Tres Amigos Canton","Canton","Armando Saucedo","2015-08-21","4","very good food","",""
"Los Tres Amigos Canton","Canton","Lucinda Gillies","2015-08-23","5","Amazing! Delicious food, wonderful service!","",""
"Los Tres Amigos West Jackson","Jackson","Dave Tinker","2015-09-07","3","Service was good but the food was sub-par, probably would not go back","",""
"Los Tres Amigos Farmington","Farmington","Mark Amore","2015-09-18","5","Really good mexican food and atmosphere.  Great outdoor patio area.","",""
"Los Tres Amigos Plymouth","Plymouth","Mike Mike","2015-10-07","5","LOVE this place!
Fun atmosphere, Great food, clean and friendly!","Thank You Michael!!","https://search.google.com/local/reviews?placeid=ChZDSUhNMG9nS0VJQ0FnSURRbTh2akZ3EAE"
"Los Tres Amigos Farmington","Farmington","Louis Hall","2015-10-11","5","","",""
"Los Tres Amigos Farmington","Farmington","keith samuels","2015-10-14","3","Food was good, but not happy with new menu. Came for the Molé, and they no longer serve it. Also took the Queso off the appetizer menu.
They need to buy new silver ware .. What they have is cheaply made dollar store quality crap.","",""
"Los Tres Amigos West Jackson","Jackson","Always Summer","2015-10-21","5","My family always went here for all of our gatherings because it was the only place that we could all agree on","",""
"Los Tres Amigos Plymouth","Plymouth","Noel Ritchey","2015-10-24","3","Hopefully just an off night.  They were extremely busy, but food was undercooked.  Alright service.","Hi Noel,
Thank you for the feedback and we apologize for the bad experience. We will address this issue with our staff and  make sure to correct it. Hopefully we will see you in there again.","https://search.google.com/local/reviews?placeid=ChdDSUhNMG9nS0VJQ0FnSUNBX01MZXpBRRAB"
"Los Tres Amigos Howell","Howell","Trevor Ball","2015-10-30","4","","","https://search.google.com/local/reviews?placeid=ChZDSUhNMG9nS0VJQ0FnSUNROFAtMU5BEAE"
"Los Tres Amigos Canton","Canton","Raluca Salajan","2015-11-03","4","","",""
"Los Tres Amigos Plymouth","Plymouth","Lance Kortesoja","2015-11-08","5","","Thank you Lance!","https://search.google.com/local/reviews?placeid=ChZDSUhNMG9nS0VJQ0FnSURBeDR6MmFBEAE"
"Los Tres Amigos Michigan Center","Michigan Center","Anonymous Unknown","2015-11-14","1","Been there twice  now and  each time my order is wrong !!!  Guess they're just too busy to get it right ?  The food is good thou at  least the the cook has got his act together ..so I will try it again thanks to the good stuff the cook kicks out !","",""
